,Chart Number,Glycan Name_Seal,Average RFU_Seal,StDev_Seal,% CV_Seal,t-value_Seal,p-value_Seal,Glycan Name_Human,Average RFU_Human,StDev_Human,% CV_Human,t-value_Human,p-value_Human,alpha(2-3),alpha(2-6)
10,460,Neu5Aca2-3Galb1-4GlcNAcb1-4Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,697.27475,27.99874838,4.015454221,24.08231757,7.85E-05,Neu5Aca2-3Galb1-4GlcNAcb1-4Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-4(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,7.72585,3.78683645,49.01514331,-4.825703524,,TRUE,FALSE
11,331,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,763.870475,33.72564447,4.415099886,21.96757057,0.000103244,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,2.350575,3.867657236,164.540899,-6.114664138,,TRUE,FALSE
12,256,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,662.348075,31.47805328,4.752494114,20.31091533,0.000130459,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,7.4567,3.018020129,40.47393792,-6.144193613,,TRUE,FALSE
13,247,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,902.28005,44.59854846,4.942872056,19.71544098,0.000142565,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,3.20415,5.799737637,181.0070576,-3.930496762,,TRUE,FALSE
14,483,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,814.49935,43.16330123,5.299365952,18.33732192,0.000176931,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,8.46015,3.250174613,38.41745848,-5.39658698,,TRUE,FALSE
15,317,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,2060.08765,112.0211958,5.437690762,18.18484114,0.000181386,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,3.044825,4.148627328,136.2517494,-5.533197654,,TRUE,FALSE
16,441,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb-Sp8,337.914125,17.61484048,5.212815676,17.87777331,0.000190823,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb-Sp8,0.506225,4.237128082,837.0049053,-6.016758169,,TRUE,FALSE
17,240,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,711.6446,40.91762632,5.749727648,16.83002319,0.000228399,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.115625,4.948817571,54.28939399,-3.411799841,,TRUE,FALSE
18,261,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,566.11655,32.54222697,5.748326378,16.68959382,0.000234163,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,18.04215,11.67968003,64.73552229,-0.681341439,,TRUE,FALSE
19,471,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,1101.561425,65.51706987,5.9476547,16.46229642,0.00024391,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,12.2613,4.047305388,33.00877874,-3.394530109,,TRUE,FALSE
20,294,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0¾ ¾¾¾¾ ,454.923975,26.80314414,5.891785356,16.11467568,0.000259889,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0¾ ¾¾¾¾ ,0.310675,2.301218444,740.7156818,-11.16335786,,TRUE,FALSE
46,251,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,556.2313,224.4042998,40.34370231,2.376208033,0.048976357,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,249.62745,47.95794402,19.21180704,4.662990763,0.009307641,TRUE,FALSE
