Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
510,Galb1-3(6S)GlcNAcb-Sp8 ,4.530525,5.948128374,131.2900464,-3.105090179,#NUM!
154,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,4.517025,5.092372748,112.737316,-3.629540867,#NUM!
516,(4S)GalNAcb-Sp10,4.51595,6.342000536,140.4355791,-2.914545638,#NUM!
591,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,4.466375,2.382182314,53.33592262,-7.780103518,#NUM!
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,4.441275,5.25706981,118.3684823,-3.530241307,#NUM!
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,4.40375,1.945303953,44.17380535,-9.559560073,#NUM!
127,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,4.388975,2.673246153,60.90821099,-6.961957086,#NUM!
334,GalNAcb1-3Gala1-4Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,4.386025,4.3276215,98.66841845,-4.301202173,#NUM!
447,Galb1-4(Fuca1-3)GlcNAcb1-6GalNAc-Sp14,4.3829,3.420676588,78.04596473,-5.442519783,#NUM!
371,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,4.3781,6.68538143,152.7005192,-2.785465601,#NUM!
401,Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,4.3716,4.413722937,100.9635588,-4.220563969,#NUM!
196,Glca1-4Glca-Sp8,4.326975,5.145139841,118.9084716,-3.629255098,#NUM!
382,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glcb-Sp0,4.292025,4.812023284,112.1154533,-3.887756542,#NUM!
76,Fuca1-2Galb1-4GlcNAcb-Sp8,4.2451,6.224709134,146.6328033,-3.012976124,#NUM!
77,Fuca1-2Galb1-4Glcb-Sp0,4.22725,5.670623205,134.144496,-3.310526783,#NUM!
168,Galb1-4GlcNAcb-Sp0,4.16665,3.382839575,81.18847455,-5.567319875,#NUM!
305,Galb1-4GlcNAcb1-6Galb1-4GlcNAcb-Sp0,4.1613,7.750089254,186.2420218,-2.430772006,#NUM!
170,Galb1-4GlcNAcb-Sp23,4.15835,3.585103015,86.21455662,-5.255539358,#NUM!
290,Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp0 ,4.127625,5.501744711,133.2908079,-3.430252764,#NUM!
159,Galb1-4GlcNAcb1-3GalNAca-Sp8,4.125375,16.3615079,396.6065607,-1.153599357,#NUM!
413,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,4.109475,3.414363538,83.0851517,-5.53266364,#NUM!
113,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,4.108425,5.362998074,130.5365943,-3.522577249,#NUM!
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4.0964,5.887054552,143.7128833,-3.211045495,#NUM!
179,GlcNAcb1-3GalNAca-Sp8,4.0313,2.492286482,61.82339398,-7.610962921,#NUM!
520,Neu5Aca2-6Galb1-4GlcNAcb1-2Man-Sp0,3.9887,3.0810281,77.24391657,-6.170440315,#NUM!
350,Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,3.9227,4.77704185,121.7794338,-3.993538386,#NUM!
119,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,3.91835,2.050850605,52.33964819,-9.304261342,#NUM!
