Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
244,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,5.386275,5.243308992,97.34573507,-3.931434335,#NUM!
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,5.35595,7.846271763,146.4963594,-2.631064871,#NUM!
518,(6P)Galb1-4GlcNAcb-SP0 ,5.3532,3.275014177,61.17862544,-6.304339122,#NUM!
306,GalNAcb1-3Galb-Sp8,5.276375,1.867696889,35.3973493,-11.09581813,#NUM!
423,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-3GalNAc-Sp14,5.2706,6.627482765,125.74437,-3.127793875,#NUM!
586,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,5.253975,2.683832237,51.08193771,-7.730000674,#NUM!
553,Neu5Aca2-8Neu5Gca2-3Galb1-4GlcNAc-Sp0,5.25165,9.093794805,173.1607172,-2.281594257,#NUM!
219,(3S)Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8 ,5.24975,7.26701783,138.4259789,-2.855401003,#NUM!
432,GlcNAcb1-2Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,5.211975,3.829925932,73.48319844,-5.427787735,#NUM!
510,Galb1-3(6S)GlcNAcb-Sp8 ,5.209675,5.810317768,111.5293712,-3.578173489,#NUM!
313,Mana1-6Manb-Sp10,5.209475,10.6865307,205.1364236,-1.945488725,#NUM!
117,Gala1-3Galb1-4Glc-Sp10,5.205925,2.661530167,51.12501941,-7.812827094,#NUM!
245,Neu5Aca2-3Galb-Sp8,5.2035,6.485778315,124.642612,-3.206477155,#NUM!
401,Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,5.201475,3.06806198,58.98446076,-6.779043296,#NUM!
421,GlcNAcb1-2(GlcNAcb1-6)Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,5.18945,3.962802498,76.36266845,-5.251472919,#NUM!
178,GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,5.186175,6.254144605,120.5926257,-3.328005077,#NUM!
391,Galb1-3GlcNAcb1-3GalNAca-Sp14,5.163875,3.861506574,74.77924183,-5.39585382,#NUM!
507,GlcNAcb1-6(GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc-Sp21,5.13,5.1637406,100.6577115,-4.041643765,#NUM!
282,Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5.12705,5.69976928,111.1705421,-3.662069283,#NUM!
527,Gala1-3Galb1-3GlcNAcb1-2Mana-Sp0,5.113725,6.115673786,119.5933255,-3.415204233,#NUM!
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.102675,3.279261776,64.2655426,-6.372569934,#NUM!
